Дата;Менеджер;Город;Товар;Количество;Цена
16.01.2025;Иванова А.;Санкт-Петербург;Сетевой фильтр;1;990
18.01.2025;Смирнова О.;Краснодар;Коврик для мыши XL;1;790
29.01.2025;Кузнецов Д.;Краснодар;Видеокарта RTX;3;64990
03.01.2025;Иванова А.;Краснодар;Видеокарта RTX;5;64990
19.01.2025;Волков И.;Москва;Микрофон USB;8;8990
14.01.2025;Кузнецов Д.;Санкт-Петербург;Мышь беспроводная;8;1490
10.01.2025;Сидорова М.;Санкт-Петербург;SSD 1 ТБ;7;8490
05.01.2025;Иванова А.;Екатеринбург;Оперативная память 16 ГБ;1;4290
23.01.2025;Смирнова О.;Москва;Видеокарта RTX;2;64990
20.01.2025;Смирнова О.;Новосибирск;"Монитор 27"" IPS";3;18990
24.01.2025;Петров С.;Екатеринбург;Наушники с шумоподавлением;3;12990
27.01.2025;Иванова А.;Краснодар;Веб-камера Full HD;8;3990
24.01.2025;Сидорова М.;Москва;Клавиатура механическая;2;4990
31.01.2025;Смирнова О.;Краснодар;Роутер Wi-Fi 6;7;6990
26.01.2025;Кузнецов Д.;Краснодар;Сетевой фильтр;8;990
05.01.2025;Петров С.;Москва;Оперативная память 16 ГБ;5;4290
12.01.2025;Волков И.;Новосибирск;Веб-камера Full HD;5;3990
16.01.2025;Петров С.;Казань;"Монитор 27"" IPS";7;18990
07.01.2025;Сидорова М.;Краснодар;Колонка Bluetooth;2;5990
11.01.2025;Иванова А.;Екатеринбург;Коврик для мыши XL;5;790
01.01.2025;Смирнова О.;Москва;Ноутбук ProBook 14;6;72990
04.01.2025;Иванова А.;Екатеринбург;Веб-камера Full HD;1;3990
01.01.2025;Кузнецов Д.;Казань;Оперативная память 16 ГБ;1;4290
26.01.2025;Иванова А.;Санкт-Петербург;Видеокарта RTX;4;64990
21.01.2025;Петров С.;Екатеринбург;Сумка для ноутбука;4;2490
12.01.2025;Волков И.;Санкт-Петербург;Клавиатура механическая;6;4990
19.01.2025;Кузнецов Д.;Краснодар;Веб-камера Full HD;3;3990
17.01.2025;Кузнецов Д.;Москва;Мышь беспроводная;1;1490
30.01.2025;Сидорова М.;Казань;Клавиатура механическая;2;4990
12.01.2025;Смирнова О.;Екатеринбург;Веб-камера Full HD;3;3990
29.01.2025;Кузнецов Д.;Санкт-Петербург;Клавиатура механическая;3;4990
20.01.2025;Кузнецов Д.;Краснодар;Оперативная память 16 ГБ;7;4290
26.01.2025;Иванова А.;Краснодар;Коврик для мыши XL;2;790
11.01.2025;Сидорова М.;Санкт-Петербург;Колонка Bluetooth;4;5990
31.01.2025;Петров С.;Новосибирск;Сумка для ноутбука;1;2490
12.01.2025;Кузнецов Д.;Краснодар;Ноутбук ProBook 14;2;72990
28.01.2025;Волков И.;Краснодар;"Монитор 27"" IPS";6;18990
30.01.2025;Смирнова О.;Краснодар;Роутер Wi-Fi 6;4;6990
10.01.2025;Петров С.;Новосибирск;Оперативная память 16 ГБ;4;4290
10.01.2025;Кузнецов Д.;Новосибирск;Сетевой фильтр;7;990
03.01.2025;Иванова А.;Новосибирск;Сумка для ноутбука;2;2490
11.01.2025;Смирнова О.;Новосибирск;Сумка для ноутбука;5;2490
16.01.2025;Волков И.;Краснодар;SSD 1 ТБ;1;8490
17.01.2025;Петров С.;Москва;Ноутбук ProBook 14;5;72990
29.01.2025;Волков И.;Казань;Веб-камера Full HD;1;3990
18.01.2025;Иванова А.;Казань;Ноутбук Aspire 15;7;54990
07.01.2025;Смирнова О.;Москва;Видеокарта RTX;7;64990
24.01.2025;Смирнова О.;Казань;Веб-камера Full HD;1;3990
30.01.2025;Иванова А.;Новосибирск;Наушники с шумоподавлением;3;12990
